t_s,pura_cmH2O,pura_min_cmH2O,pura_max_cmH2O
42.1503,79.65,77.78,80.56
42.4003,79.17,77.78,80.56
42.6503,78.44,77.78,80.56
42.9003,79.14,77.78,80.56
43.1503,79.73,77.78,80.56
43.4003,78.95,77.78,80.56
43.6503,78.83,77.78,80.56
43.9003,79.30,77.78,80.56
44.1503,79.73,77.78,80.56
44.4003,79.13,77.78,80.56
44.6503,78.19,77.78,80.56
44.9003,78.51,77.78,80.56
45.1503,79.67,77.78,80.56
45.4003,78.29,77.78,80.56
45.6503,78.19,77.78,80.56
45.9003,78.75,77.78,80.56
46.1503,81.20,79.90,82.67
46.4003,77.77,77.74,77.82
46.6503,76.30,75.00,78.36
46.9003,77.04,76.58,77.78
47.1503,75.83,74.04,77.78
47.4003,74.90,72.22,77.78
47.6503,73.02,72.22,75.28
47.9003,73.70,72.22,75.00
48.1503,72.98,70.96,75.00
48.4003,70.82,69.44,72.22
48.6503,70.54,69.44,72.22
48.9003,71.80,71.63,72.22
49.1503,71.93,70.65,73.43
49.4003,70.83,69.44,72.22
49.6503,70.21,69.44,72.22
49.9003,73.24,71.94,74.71
50.1503,74.49,72.22,76.87
50.4003,74.88,73.48,76.25
50.6503,75.60,74.37,77.78
50.9003,74.97,72.25,77.78
51.1503,76.69,75.60,77.78
51.4003,76.25,75.00,77.78
51.6503,75.97,75.00,77.78
51.9003,76.50,75.32,77.78
52.1503,78.79,77.78,80.26
52.4003,79.57,77.78,80.56
52.6503,78.66,77.78,80.56
52.9003,79.17,77.78,80.56
53.1503,80.36,77.78,83.33
53.4003,81.88,80.56,83.33
53.6503,81.88,80.56,83.33
53.9003,81.88,80.56,83.33
54.1503,81.84,80.56,83.33
54.4003,79.48,78.09,80.87
54.6503,78.08,77.78,78.71
54.9003,78.86,77.78,80.56
55.1503,77.56,77.17,77.78
55.4003,75.97,75.00,77.78
55.6503,73.95,72.22,75.63
55.9003,72.22,72.22,72.22
56.1503,70.39,68.53,72.22
56.4003,68.03,63.89,71.93
56.6503,65.45,63.89,66.99
56.9003,62.41,61.11,63.89
57.1503,61.70,59.89,63.89
57.4003,59.20,57.73,60.51
57.6503,56.04,52.80,58.33
57.9003,54.80,52.78,57.70
58.1503,52.68,50.00,54.03
58.4003,49.52,47.22,51.88
58.6503,48.20,46.94,50.00
58.9003,46.42,44.44,47.56
59.1503,46.00,44.44,47.22
59.4003,42.69,41.67,44.44
59.6503,40.95,38.89,43.86
59.9003,40.40,38.89,41.67
60.1503,38.63,36.11,39.54
60.4003,36.37,34.60,38.89
60.6503,34.92,33.33,38.00
60.9003,34.48,33.33,36.11
61.1503,34.48,33.33,36.11
61.4003,32.16,30.56,34.30
61.6503,30.56,30.56,30.56
61.9003,31.73,30.56,33.33
62.1503,30.58,30.56,30.60
62.4003,30.56,30.56,30.56
62.6503,28.97,27.78,30.56
62.9003,29.47,28.66,30.56
63.1503,30.56,30.56,30.56
63.4003,30.56,30.56,30.56
63.6503,28.94,27.78,30.56
63.9003,29.39,27.78,30.56
64.1503,30.56,30.56,30.56
64.4003,30.56,30.56,30.56
64.6503,30.56,30.56,30.56
64.9003,30.56,30.56,30.56
65.1503,31.94,30.56,33.33
65.4003,31.82,30.56,33.09
65.6503,30.56,30.56,30.56
65.9003,31.59,30.56,32.34
66.1503,32.37,30.56,33.33
66.4003,31.95,30.56,33.33
66.6503,32.14,30.56,33.33
66.9003,31.38,30.56,32.65
67.1503,30.56,30.56,30.56
67.4003,29.43,27.78,30.56
67.6503,27.21,24.76,30.32
67.9003,26.49,24.62,27.78
68.1503,27.89,26.78,29.55
68.4003,26.63,23.84,29.40
68.6503,24.60,22.22,25.54
68.9003,24.50,22.22,25.08
69.1503,27.10,25.00,29.86
69.4003,27.20,25.00,30.56
69.6503,28.71,27.78,30.56
69.9003,29.34,28.00,30.78
70.1503,32.28,30.56,33.33
70.4003,32.82,30.56,35.10
70.6503,33.29,31.70,34.48
70.9003,34.87,33.86,36.64
71.1503,37.17,36.11,38.89
71.4003,40.09,38.18,41.67
71.6503,42.84,41.67,44.44
71.9003,47.16,45.27,50.00
72.1503,48.97,47.43,50.21
72.4003,51.13,50.00,52.78
72.6503,50.38,50.00,52.78
72.9003,48.43,47.22,50.00
73.1503,48.74,47.22,50.52
73.4003,48.98,47.22,52.78
73.6503,48.52,47.22,50.72
73.9003,48.43,47.22,50.00
74.1503,48.30,47.22,50.00
74.4003,48.30,47.22,50.00
74.6503,47.72,44.86,50.00
74.9003,45.77,42.70,48.26
75.1503,42.66,40.54,44.44
75.4003,39.39,35.61,43.94
75.6503,31.29,25.35,36.34
75.9003,20.01,15.36,24.42
76.1503,13.05,9.69,18.02
76.4003,6.98,2.78,10.30
76.6503,4.76,2.78,5.56
76.9003,4.87,2.78,5.56
77.1503,4.86,2.78,5.56
77.4003,4.76,2.78,5.56
77.6503,4.76,2.78,5.56
77.9003,4.80,2.78,5.56
78.1503,4.86,2.78,5.56
78.4003,4.76,2.78,5.56
78.6503,4.76,2.78,5.56
78.9003,4.81,2.95,5.56
79.1503,4.89,3.22,5.56
79.4003,4.76,2.78,5.56
79.6503,4.76,2.78,5.56
79.9003,4.90,3.26,5.56
80.1503,4.80,2.92,5.56
80.4003,4.76,2.78,5.56
80.6503,4.76,2.78,5.56
80.9003,4.99,3.56,5.56
81.1503,4.76,2.78,5.56
81.4003,4.76,2.78,5.56
81.6503,4.76,2.78,5.56
81.9003,5.07,3.86,5.56
82.1503,4.76,2.78,5.56
82.4003,4.76,2.78,5.56
82.6503,4.76,2.78,5.56
82.9003,5.16,4.17,5.56
83.1503,4.76,2.78,5.56
83.4003,4.76,2.78,5.56
83.6503,4.76,2.78,5.56
83.9003,5.25,4.47,5.56
84.1503,4.78,2.78,5.56
84.4003,4.76,2.78,5.56
84.6503,4.76,2.78,5.56
84.9003,4.95,2.78,5.56
85.1503,4.82,2.78,5.56
85.4003,4.76,2.78,5.56
85.6503,4.76,2.78,5.56
85.9003,5.96,2.78,7.85
86.1503,12.65,8.92,15.57
86.4003,18.79,14.95,23.28
86.6503,25.85,22.67,28.66
86.9003,32.82,30.21,35.94
87.1503,37.74,35.32,40.87
87.4003,41.66,40.25,43.03
87.6503,46.48,44.44,47.97
87.9003,51.38,50.00,52.78
88.1503,52.14,50.00,52.78
88.4003,50.28,48.33,52.78
88.6503,48.07,46.17,50.00
88.9003,44.22,41.24,46.79
89.1503,36.72,31.12,41.85
89.4003,27.26,21.86,32.17
89.6503,20.52,18.09,23.65
89.9003,15.80,13.15,18.71
90.1503,10.15,5.44,16.32
90.4003,4.99,2.78,6.06
90.6503,4.76,2.78,5.56
90.9003,5.06,3.82,5.56
91.1503,4.76,2.78,5.56
91.4003,4.76,2.78,5.56
91.6503,4.76,2.78,5.56
91.9003,5.15,4.12,5.56
92.1503,4.76,2.78,5.56
92.4003,4.76,2.78,5.56
92.6503,4.76,2.78,5.56
92.9003,5.23,4.42,5.56
93.1503,4.77,2.78,5.56
93.4003,4.76,2.78,5.56
93.6503,4.76,2.78,5.56
93.9003,4.96,2.78,5.56
94.1503,4.82,2.78,5.56
94.4003,4.76,2.78,5.56
94.6503,4.76,2.78,5.56
94.9003,4.90,2.78,5.56
95.1503,4.85,2.78,5.56
95.4003,4.76,2.78,5.56
95.6503,4.76,2.78,5.56
95.9003,4.82,2.78,5.56
96.1503,4.87,2.78,5.56
96.4003,4.76,2.78,5.56
96.6503,4.76,2.78,5.56
96.9003,4.78,2.86,5.56
97.1503,4.92,3.32,5.56
97.4003,4.76,2.78,5.56
97.6503,4.76,2.78,5.56
97.9003,4.87,3.16,5.56
98.1503,4.83,3.01,5.56
98.4003,4.76,2.78,5.56
98.6503,4.76,2.78,5.56
98.9003,4.96,3.46,5.56
99.1503,4.76,2.78,5.56
99.4003,4.76,2.78,5.56
99.6503,4.76,2.78,5.56
99.9003,5.04,3.77,5.56
100.1503,4.76,2.78,5.56
100.4003,4.76,2.78,5.56
100.6503,4.76,2.78,5.56
100.9003,5.13,4.07,5.56
101.1503,4.76,2.78,5.56
101.4003,4.76,2.78,5.56
101.6503,4.76,2.78,5.56
101.9003,5.22,4.37,5.56
102.1503,4.76,2.78,5.56
102.4003,4.76,2.78,5.56
102.6503,4.76,2.78,5.56
102.9003,7.20,5.56,8.33
103.1503,9.29,8.33,11.11
103.4003,10.10,8.33,11.11
103.6503,9.40,8.29,11.11
103.9003,7.00,5.56,8.91
104.1503,7.37,5.56,9.92
104.4003,8.91,8.33,11.11
104.6503,8.78,7.99,11.11
104.9003,6.92,5.56,8.60
105.1503,7.37,5.56,10.22
105.4003,7.80,6.83,9.60
105.6503,7.33,5.56,10.46
105.9003,6.84,5.56,8.33
106.1503,8.57,7.75,10.52
106.4003,8.91,8.33,11.11
106.6503,8.70,7.38,11.11
106.9003,6.96,5.56,8.67
107.1503,6.99,5.56,8.62
107.4003,6.82,5.56,8.33
107.6503,6.81,5.56,8.33
107.9003,5.25,3.42,7.69
108.1503,5.95,2.78,8.31
108.4003,5.90,2.78,7.74
108.6503,6.02,2.78,8.33
108.9003,5.03,3.72,5.56
109.1503,4.76,2.78,5.56
109.4003,4.76,2.78,5.56
109.6503,4.76,2.78,5.56
109.9003,5.12,4.02,5.56
110.1503,4.76,2.78,5.56
110.4003,4.76,2.78,5.56
110.6503,4.76,2.78,5.56
110.9003,5.20,4.33,5.56
111.1503,4.76,2.78,5.56
111.4003,4.76,2.78,5.56
111.6503,4.76,2.78,5.56
111.9003,4.97,2.78,5.56
112.1503,4.81,2.78,5.56
112.4003,4.76,2.78,5.56
112.6503,4.76,2.78,5.56
112.9003,4.91,2.78,5.56
113.1503,4.85,2.78,5.56
113.4003,4.76,2.78,5.56
113.6503,4.76,2.78,5.56
113.9003,4.84,2.78,5.56
114.1503,4.86,2.78,5.56
114.4003,4.76,2.78,5.56
114.6503,4.76,2.78,5.56
114.9003,4.76,2.78,5.56
115.1503,4.94,3.41,5.56
115.4003,4.76,2.78,5.56
115.6503,4.76,2.78,5.56
115.9003,4.84,3.07,5.56
116.1503,4.86,3.11,5.56
116.4003,4.76,2.78,5.56
116.6503,4.76,2.78,5.56
116.9003,4.93,3.37,5.56
117.1503,4.77,2.81,5.56
117.4003,4.76,2.78,5.56
117.6503,4.76,2.78,5.56
117.9003,5.02,3.67,5.56
118.1503,4.76,2.78,5.56
118.4003,4.76,2.78,5.56
118.6503,4.76,2.78,5.56
118.9003,5.10,3.98,5.56
119.1503,4.76,2.78,5.56
119.4003,4.76,2.78,5.56
119.6503,4.76,2.78,5.56
119.9003,5.19,4.28,5.56
120.1503,4.76,2.78,5.56
120.4003,4.76,2.78,5.56
120.6503,4.76,2.78,5.56
120.9003,4.98,2.78,5.56
121.1503,4.80,2.78,5.56
121.4003,4.76,2.78,5.56
121.6503,4.76,2.78,5.56
121.9003,4.92,2.78,5.56
122.1503,4.84,2.78,5.56
122.4003,4.76,2.78,5.56
122.6503,4.76,2.78,5.56
122.9003,4.85,2.78,5.56
123.1503,4.87,2.78,5.56
123.4003,4.76,2.78,5.56
123.6503,4.76,2.78,5.56
123.9003,4.77,2.78,5.56
124.1503,4.96,3.46,5.56
124.4003,4.76,2.78,5.56
124.6503,4.76,2.78,5.56
124.9003,4.83,3.02,5.56
125.1503,4.80,3.16,5.56
125.4003,4.69,2.78,5.56
125.6503,4.69,2.78,5.56
125.9003,4.86,3.32,5.56
126.1503,4.71,2.85,5.56
126.4003,4.69,2.78,5.56
126.6503,4.69,2.78,5.56
126.9003,4.95,3.62,5.56
127.1503,4.69,2.78,5.56
127.4003,4.69,2.78,5.56
127.6503,4.69,2.78,5.56
127.9003,5.05,3.93,5.56
128.1503,4.69,2.78,5.56
128.4003,4.69,2.78,5.56
128.6503,4.69,2.78,5.56
128.9003,4.92,2.78,5.56
129.1503,4.69,2.78,5.56
129.4003,4.69,2.78,5.56
129.6503,4.69,2.78,5.56
129.9003,4.89,2.78,5.56
130.1503,4.72,2.78,5.56
130.4003,4.69,2.78,5.56
130.6503,4.69,2.78,5.56
130.9003,4.84,2.78,5.56
131.1503,4.76,2.78,5.56
131.4003,4.69,2.78,5.56
131.6503,4.69,2.78,5.56
131.9003,4.78,2.78,5.56
132.1503,4.78,2.78,5.56
132.4003,4.69,2.78,5.56
132.6503,4.69,2.78,5.56
132.9003,4.71,2.78,5.56
133.1503,4.78,2.78,5.56
133.4003,4.69,2.78,5.56
133.6503,4.69,2.78,5.56
133.9003,4.75,2.97,5.56
134.1503,4.82,3.20,5.56
134.4003,4.69,2.78,5.56
134.6503,4.69,2.78,5.56
134.9003,4.84,3.27,5.56
135.1503,4.73,2.90,5.56
135.4003,4.69,2.78,5.56
135.6503,4.69,2.78,5.56
135.9003,4.94,3.58,5.56
136.1503,4.69,2.78,5.56
136.4003,4.69,2.78,5.56
136.6503,4.69,2.78,5.56
136.9003,5.03,3.88,5.56
137.1503,4.69,2.78,5.56
137.4003,4.69,2.78,5.56
137.6503,4.69,2.78,5.56
137.9003,5.13,4.18,5.56
138.1503,4.69,2.78,5.56
138.4003,4.69,2.78,5.56
138.6503,4.69,2.78,5.56
138.9003,4.90,2.78,5.56
139.1503,4.71,2.78,5.56
139.4003,4.69,2.78,5.56
139.6503,4.69,2.78,5.56
139.9003,4.84,2.78,5.56
140.1503,4.75,2.78,5.56
140.4003,4.69,2.78,5.56
140.6503,4.69,2.78,5.56
140.9003,4.79,2.78,5.56
141.1503,4.78,2.78,5.56
141.4003,4.69,2.78,5.56
141.6503,4.69,2.78,5.56
141.9003,4.72,2.78,5.56
142.1503,4.78,2.78,5.56
142.4003,4.69,2.78,5.56
142.6503,4.69,2.78,5.56
142.9003,4.73,2.92,5.56
143.1503,4.84,3.25,5.56
143.4003,4.69,2.78,5.56
143.6503,4.69,2.78,5.56
143.9003,4.83,3.23,5.56
144.1503,4.74,2.95,5.56
144.4003,4.69,2.78,5.56
144.6503,4.69,2.78,5.56
144.9003,4.92,3.53,5.56
145.1503,5.90,2.78,8.07
145.4003,31.81,2.78,60.62
145.6503,59.40,55.56,61.11
145.9003,59.97,58.33,61.11
146.1503,58.54,55.56,61.11
146.4003,57.97,55.56,58.52
146.6503,59.89,58.33,61.11
146.9003,60.10,58.33,61.11
147.1503,59.25,55.56,61.11
147.4003,57.96,55.56,58.45
147.6503,59.74,57.84,61.11
147.9003,60.48,58.33,62.23
148.1503,60.10,58.33,61.11
148.4003,60.10,58.33,61.11
148.6503,60.10,58.33,61.11
148.9003,60.61,58.33,63.08
149.1503,60.10,58.33,61.11
149.4003,60.10,58.33,61.11
149.6503,60.10,58.33,61.11
149.9003,60.96,58.33,63.38
150.1503,60.28,58.33,62.24
150.4003,60.10,58.33,61.11
150.6503,60.21,58.33,61.52
150.9003,61.13,58.33,63.89
